author_name,affiliation,city,country,publication_date,title,latitude,longitude,cluster
Bergogne D.,Université de Lyon,Lyon,France,2013-12-17,Integrated coreless transformer for high temperatures design and evaluation,45.7578137,4.8320114,0
Wu H.,Tianjin University,Tianjin,China,2013-12-27,Identifying the daily activity pattern of community dynamics using digital footprint,39.3032619,117.4163641,1
Wang Y.Q.,National Digital Switching System Engineering &amp; Technological Research Center,Zhengzhou,China,2013-12-16,A fair sampling algorithm of network flow based on dynamic count filter,34.7533392,113.6599983,1
Li X.,Erik Jonsson School of Engineering and Computer Science,Richardson,United States,2013-12-09,A virtual laboratory for power electronics and DSP based motion control,32.9481789,-96.7297206,2
Cai Y.,Huaqiao University,Quanzhou,China,2013-12-11,Adaptive differential evolution with competent leaders,25.1901863,118.338717,1
Chen X.,Shenyang University of Chemical Technology,Shenyang,China,2013-12-26,Numerical simulation of the Al<inf>2</inf>O<inf>3</inf>/ZrO<inf>2</inf> (Y<inf>2</inf>O<inf>3</inf>) ceramic cutting tool during cutting process's temperature fields and stress fields,41.8026095,123.4279105,1
Green P.,University of Michigan Transportation Research Institute,Ann Arbor,United States,2013-12-13,Eleven tips to find course materials when time is limited,42.2813722,-83.7484616,2
Jiang H.,Shanghai Institute of Microsystem and Information Technology Chinese Academy of Sciences,Shanghai,China,2013-12-23,TDRS satellite application to LEO satellite data link,31.2312707,121.4700152,1
Kortum P.,Rice University,Houston,United States,2013-12-13,The relationship between levels of user experience with a product and perceived system usability,29.7589382,-95.3676974,2
Eldewahi A.,Khartoum University,Khartoum,Sudan,2013-12-12,Authenticated key agreement protocol for virtual private network based on certificateless cryptography,15.5635972,32.5349123,3
Scelba G.,Università degli Studi di Catania,Catania,Italy,2013-12-31,Fault tolerant rotor position and velocity estimation using binary Hall-effect sensors for low cost vector control drives,37.5023612,15.0873718,0
Liu Y.,Southwest Jiaotong University,Chengdu,China,2013-12-16,Entrepreneurial trait of cultivation of undergraduates of transportation major,30.6598628,104.0633717,1
Alhusain S.,De Montfort University,Leicester,United Kingdom,2013-12-31,Towards machine learning based design pattern recognition,52.6362,-1.1331969,0
Zhou J.,Xi'an Polytechnic University,Xi'an,China,2013-12-16,Bayes statistical analysis of Burr XII distribution in random censoring life test,34.261004,108.9423363,1
Li S.,Southeast University,Nanjing,China,2013-12-16,Damage detection to urban girder bridge using distributed strain response,32.0438284,118.7788631,1
Li L.,Academy of Armored Force Engineering China,Beijing,China,2013-12-16,Research on the maintenance process modeling method for complicate equipments,40.190632,116.412144,1
Hammadi S.,Université de Lille,Lille,France,2013-12-31,Preface,50.6365654,3.0635282,0
Ollinger L.,German Research Center for Artificial Intelligence (DFKI),Kaiserslautern,Germany,2013-12-24,A reference architecture for service-oriented control procedures and its implementation with SysML and Grafchart,49.4432174,7.7689951,0
Meyer A.,Organisation for International Dialogue and Conflict Management (IDC),Vienna,Austria,2013-12-01,Frankenstein 2.0.: Identifying and characterising synthetic biology engineers in science fiction films,48.2083537,16.3725042,0
Wu F.,Key Laboratory of Road and Traffic Engineering of the State Ministry of Education,Shanghai,China,2013-12-16,Evaluation of suburban rail station plans in satellite city considering accessing costs,31.2312707,121.4700152,1
Li B.,Southwest Jiaotong University,Chengdu,China,2013-12-16,Decision-making research of the construction order of intercity railway based on rough centralized weight,30.6598628,104.0633717,1
Osman M.O.Y.,Sudan University of Science and Technology,Khartoum,Sudan,2013-12-11,Sudan and South Sudan HF model: Based on University of Khartoum ionospheric shells and their mathematical derivations,15.5635972,32.5349123,3
Krueger C.,BigLever Software,Austin,United States,2013-12-23,Systems and software product line engineering with biglever software gears,30.2711286,-97.7436995,2
Chen K.,Wuhan University of Technology,Wuhan,China,2013-12-16,Design and implementation of employee education and training system based on SSH framework,30.5951051,114.2999353,1
Choi S.,Seoul National University,Seoul,South Korea,2013-12-06,A liquid contact indicator model for warranty abuse detection in portable electronics,37.5666791,126.9782914,1
Cheng Y.,Beijing Jiaotong University,Beijing,China,2013-12-16,Bayesian network based fault diagnosis and maintenance for high-speed train control systems,40.190632,116.412144,1
Boring R.,Idaho National Laboratory,Idaho Falls,United States,2013-12-13,Lessons learned using a full-scale glasstop simulator for control room modernization in nuclear power plants,43.4887907,-112.03628,4
Ahmad M.,King Faisal University,Al-Ahsa,Saudi Arabia,2013-12-01,A comparative analysis of software engineering approaches for sequence analysis,23.3036077,50.1258804,3
Pacheco M.,"Facultad de Ciencias Exactas, Universidad Nacional de La Plata",La Plata,Argentina,2013-12-02,Room temperature phosphorescence of the 1-bromonaphthalene/b-cyclodextrin inclusion complex: Comparison between right-angle and front-face illumination geometry,-34.9206797,-57.9537638,-1
Yanan M.,Beijing Institute of Control Engineering,Beijing,China,2013-12-23,Design and realization of the miniature long-life integrative coded sun sensor,40.190632,116.412144,1
Wang X.,Henan Normal University,Xinxiang,China,2013-12-09,Surfactant-assisted hydrothermal preparation of monoclinic bismuth vanadate microspheres and visible-light-driven photocatalytic activity,35.308611,114.051111,1
Subrahmaniyan N.,"University at Buffalo, The State University of New York",Buffalo,United States,2013-12-13,Application of personas in the design of augmentative alternative communication devices,42.8867166,-78.8783922,2
Pu B.Y.,University of Electronic Science and Technology of China,Chengdu,China,2013-12-06,A new GMRES(m) method for markov chains,30.6598628,104.0633717,1
Itani Y.,Mitsubishi Electric Corporation,Tokyo,Japan,2013-12-11,Text line extraction method using domain-based active contour model,35.6768601,139.7638947,1
Klein M.,Texas Tech University,Lubbock,United States,2013-12-13,Discussion panel giving human factors/ergonomics away: How can we bring the benefits of HF/E to nursing?,33.5855677,-101.8470215,2
Dinescu S.,Universitatea din Bucuresti,Bucharest,Romania,2013-12-04,Biocompatibility assessment of novel collagen-sericin scaffolds improved with hyaluronic acid and chondroitin sulfate for cartilage Regeneration,44.4361414,26.1027202,0
Liao S.Y.,The University of Hong Kong,Hong Kong,Hong Kong,2013-12-24,Multipotent (adult) and pluripotent stem cells for heart regeneration: What are the pros and cons?,22.2793278,114.1628131,1
Liao P.,Southeast University,Nanjing,China,2013-12-16,"Analysis of freight vessel arrival distribution on the grand canal, China",32.0438284,118.7788631,1
Kravchenko V.,Institute for Radio-Engineering and Electronics of the RAS,Unknown,Russian Federation,2013-12-04,Statistics based on the finite atomic functions Kravchenko-Rvachev and their use for the description of scattered sea signal,50.7958628,85.3259741,-1
Teslenko T.,The University of British Columbia,Vancouver,Canada,2013-12-09,Developing a communication module on copyright for Canadian engineering students,49.2608724,-123.113952,4
George J.,Sudan University of Science and Technology,Khartoum,Sudan,2013-12-11,Bandwidth adaptation for joint call admission control to support QoS in heterogeneous networks,15.5635972,32.5349123,3
Fu P.,Liaocheng University,Liaocheng,China,2013-12-30,Microstructural evolution and mechanical response of the surface of 18crnimo7-6 steel after multistep shot peening during annealing,36.4441808,115.9642007,1
Corinthios M.,Polytechnique Montréal,Montreal,Canada,2013-12-09,Application of the mittag-leffler expansion to sampling discontinuous signals,45.5031824,-73.5698065,2
Warren W.,Embry-Riddle Aeronautical University,Daytona Beach,United States,2013-12-13,Shift turnover strategy and time in aviation maintenance,29.2108147,-81.0228331,5
Sai V.S.,DVR &amp; Dr. HS MIC College of Technology,Kanchikacherla,India,2013-12-16,An experimental simulation to validate FEM to predict transverse young's modulus of FRP composites,16.6632668,80.37515256558606,6
Walker G.,Heriot-Watt University,Edinburgh,United Kingdom,2013-12-24,"Evolution, co-evolution, and complexity: An anniversary systems journey through the Grid",55.9533456,-3.1883749,0
Allen J.,Copenhagen Institute of Interaction Design,Copenhagen,Denmark,2013-12-09,Creating design scenarios for elderly communities: Opportunity areas and positive behaviours,55.6867243,12.5700724,0
Knapen L.,Universiteit Hasselt,Hasselt,Belgium,2013-12-31,Agent-based modeling for carpooling,50.9303735,5.3378043,0
Dong J.,Southwest Jiaotong University,Chengdu,China,2013-12-16,Influence of different methods obtaining air-gap change rate on the stability of electromagnetic suspension system in maglev,30.6598628,104.0633717,1
Shariff H.,Universiti Teknologi MARA,Shah Alam,Malaysia,2013-12-31,Nonlinear system identification: Comparison between PRBS and Random Gaussian perturbation on steam distillation pilot plant,3.0739429,101.5185278,7
Xie T.,NC State College of Engineering,Raleigh,United States,2013-12-16,"Educational software engineering: Where software engineering, education, and gaming meet",35.7803977,-78.6390989,2
Boamba C.,University Politehnica of Bucharest,Bucharest,Romania,2013-12-27,Wind power plants - Challenges for Romanian power system,44.4361414,26.1027202,0
Hwang H.,Rural Development Administration,Jeonju,South Korea,2013-12-11,OsKAT2 is the prevailing functional inward rectifier potassium channels in rice guard cell,35.8237631,127.1472805,1
Cui X.,Ministry of Education of the People's Republic of China,Beijing,China,2013-12-01,A novel metric for cache size allocation scheme in Content Centric Networking,40.190632,116.412144,1
Bellanca J.,National Institute for Occupational Safety and Health,"Washington, D.C.",United States,2013-12-13,Perceptions and usability of a mining vest: High and low seam heights,38.8950368,-77.0365427,2
Zhang N.,Saitama University,Saitama,Japan,2013-12-01,An analysis of software supportable tasks related with ISO/IEC 15408,35.9754168,139.4160114,1
Wu Y.,Harbin Institute of Technology,Harbin,China,2013-12-11,Research on the evaluation of AEC projects information management model based on smart construction theory in China,45.7593633,126.6276177,1
Oppelt M.,Siemens AG,Munich,Germany,2013-12-24,Approach for integrated simulation based on plant engineering data,48.1371079,11.5753822,0
Li G.,"Institute of Plasma Physics, Chinese Academy of Sciences",Hefei,China,2013-12-23,Electric fault protection for fusion devices-auto HV testing facility for CFETR,31.8665676,117.281428,1
Jeong Y.,Pusan National University,Busan,South Korea,2013-12-05,Speaker adaptation using probabilistic linear discriminant analysis for continuous speech recognition,35.1799528,129.0752365,1
Wang C.,Harbin Institute of Technology,Harbin,China,2013-12-16,A BitTorrent topology measurement system,45.7593633,126.6276177,1
Rojas F.,Universidad de Granada,Granada,Spain,2013-12-09,Identification of saccadic components in spinocerebellar ataxia applying an independent component analysis algorithm,37.1734995,-3.5995337,0
Yang J.,China Three Gorges University,Yichang,China,2013-12-16,Expansive soil improvement with weathered sand,30.6941332,111.2803512,1
Ballagi A.,Széchenyi István University,Gyor,Hungary,2013-12-12,Fuzzy Situational Maps: A new approach in mobile robot cooperation,47.687609,17.6346815,0
Cheng G.,China University of Mining and Technology,Xuzhou,China,2013-12-05,Study on workspace optimization of 3SPS+1PS parallel hip joint simulator,34.2665258,117.1810431,1
Guo Y.,National Digital Switching System Engineering &amp; Technological Research Center,Zhengzhou,China,2013-12-16,An effect evaluation method for IMS SIP flooding attacks based on fuzzy comprehensive evaluation,34.7533392,113.6599983,1
Xu R.,Beijing University of Posts and Telecommunications,Beijing,China,2013-12-26,Cognitive radio autoadaptive spectrum sensing time allocation scheme,40.190632,116.412144,1
Rodríguez C.C.G.,Université Côte d'Azur,Nice,France,2013-12-01,Switching from traditional medical applications to mobile devices: Cardiac and cochlear implants,43.7009358,7.2683912,0
Bhandary S.,Uppsala Universitet,Uppsala,Sweden,2013-12-03,Defect controlled magnetism in FeP/graphene/Ni(111),59.8586126,17.6387436,0
Zhang R.,Jiangnan University,Wuxi,China,2013-12-17,Efficicent (R)-phenylethanol production with enantioselectivity-alerted (S)-carbonyl reductase II and NADPH regeneration,31.5776626,120.2952752,1
Moacdieh N.,"University of Michigan, Ann Arbor",Ann Arbor,United States,2013-12-13,Effects of modern primary flight display clutter: Evidence from performance and eye tracking data,42.2813722,-83.7484616,2
Benz S.,Universität Zürich,Zurich,Switzerland,2013-12-27,Controlled oxygen release from pyridone endoperoxides promotes cell survival under anoxic conditions,47.3744489,8.5410422,0
Liu Q.,Jiangsu Ocean University,Lianyungang,China,2013-12-26,Research on modeling and experiment of bionic pectoral fin of labriform,34.5933134,119.2171662,1
Zinke C.,Universität Leipzig,Leipzig,Germany,2013-12-01,Modeling service life cycles within Product Life Cycles,51.3406321,12.3747329,0
McDonald S.,University of Sunderland,Sunderland,United Kingdom,2013-12-13,"Thinking-aloud about web navigation: The relationship between think-aloud instructions, task difficulty and performance",54.9058512,-1.3828727,0
Ahmed A.A.A.,Karary University,Khartoum,Sudan,2013-12-11,K-nearest neighbor classifier for signature verification system,15.5635972,32.5349123,3
Mallick A.,National Chemical Laboratory India,Pune,India,2013-12-16,Hydrolytic conversion of a metal-organic polyhedron into a metal-organic framework,18.5213738,73.8545071,6
Huo H.,Beihang University,Beijing,China,2013-12-16,Simulation analysis of performance of COMPASS and its augmentation system,40.190632,116.412144,1
Kelly E.J.,University of Washington,Seattle,United States,2013-12-20,Innovations in preclinical biology: Ex vivo engineering of a human kidney tissue microperfusion system,47.6038321,-122.330062,4
